,Cr,Mr,Popsize,Generasi,Best Fitness,Average Fitness,msg
0,0.1,0.1,10,20,0.14760147601475984,0.13863049152005053,0.64 detik
1,0.1,0.2,10,20,0.1325381047051024,0.13079089805173952,0.62 detik
2,0.1,0.3,10,20,0.13315579227696375,0.13129836546440468,0.60 detik
3,0.1,0.4,10,20,0.1417434443656978,0.13531182210211115,0.58 detik
4,0.1,0.5,10,20,0.13192612137203136,0.127621526880692,0.62 detik
5,0.1,0.6,10,20,0.14461315979754127,0.1399139313940621,0.66 detik
6,0.1,0.7,10,20,0.13764624913971066,0.1366290393220213,0.46 detik
7,0.1,0.8,10,20,0.13315579227696375,0.13315579227696378,0.42 detik
8,0.1,0.9,10,20,0.1389854065323138,0.13273634117892977,0.44 detik
9,0.2,0.1,10,20,0.14760147601475984,0.14305656253043444,0.44 detik
10,0.2,0.2,10,20,0.14316392269148145,0.1344339046507527,0.50 detik
11,0.2,0.3,10,20,0.14316392269148145,0.13276294970631472,0.45 detik
12,0.2,0.4,10,20,0.15071590052750536,0.1412770241114169,0.43 detik
13,0.2,0.5,10,20,0.13966480446927346,0.1341028711345055,0.50 detik
14,0.2,0.6,10,20,0.1417434443656978,0.13639394851929024,0.49 detik
15,0.2,0.7,10,20,0.13192612137203136,0.13192612137203136,0.43 detik
16,0.2,0.8,10,20,0.14104372355430153,0.1380579189226077,0.47 detik
17,0.2,0.9,10,20,0.13831258644536623,0.12989584744662622,0.49 detik
18,0.3,0.1,10,20,0.14534883720930203,0.13749115134351872,0.44 detik
19,0.3,0.2,10,20,0.1389854065323138,0.13510279969415845,0.43 detik
20,0.3,0.3,10,20,0.15822784810126553,0.14009011169651547,0.41 detik
21,0.3,0.4,10,20,0.14684287812041086,0.14013033758364013,0.49 detik
22,0.3,0.5,10,20,0.14609203798392958,0.1364503743435956,0.45 detik
23,0.3,0.6,10,20,0.14684287812041086,0.13598535192009636,0.44 detik
24,0.3,0.7,10,20,0.13831258644536623,0.13005280350304513,0.43 detik
25,0.3,0.8,10,20,0.14992503748125907,0.14351711525512656,0.45 detik
26,0.3,0.9,10,20,0.13764624913971066,0.13352709558738846,0.45 detik
27,0.4,0.1,10,20,0.1417434443656978,0.1331556705468737,0.43 detik
28,0.4,0.2,10,20,0.13377926421404654,0.13182831661092503,0.46 detik
29,0.4,0.3,10,20,0.13698630136986273,0.13458102350300055,0.50 detik
30,0.4,0.4,10,20,0.14760147601475984,0.13928324314628926,0.45 detik
31,0.4,0.5,10,20,0.1417434443656978,0.13619805905291393,0.42 detik
32,0.4,0.6,10,20,0.13071895424836572,0.12807668056632396,0.41 detik
33,0.4,0.7,10,20,0.1350438892640105,0.13194613598744193,0.45 detik
34,0.4,0.8,10,20,0.14388489208633062,0.13845437609037786,0.43 detik
35,0.4,0.9,10,20,0.13698630136986273,0.13298292437157846,0.45 detik
36,0.5,0.1,10,20,0.13831258644536623,0.13591432233177222,0.45 detik
